answer_id,question,corpus_id,config_id,mode,id,source_id,title,section,section_heading,article_type,year,population_or_model,source_url,source_version,passage_index,start_in_passage,end_in_passage,bioc_offset,license,language,exact_text,review_status
08748cb5-2bbd-4a2b-a95e-fd8dfda03347,How many CCHS patients were enrolled in a 2026 registry study in Iceland?,a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,6c2fc0821246681a10c9b8f33789c6177ac32dc4a353dd7d34e52e413b61a5d2,llm,PMC7503443:a26671042513feb5:188:0:666,PMC7503443,Guidelines for diagnosis and management of congenital central hypoventilation syndrome,CONCL,Conclusion,review/guideline,2020,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503443/,a26671042513feb5430e045a2785bfd01686b4e3844ac4ec2481c6a45d84bb4b,188,0,666,73324,"Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",en,"CCHS is a rare disease, affecting newborns, children, adults and families. Knowledge of the disease continues to evolve in the last decade, with regard to the clinical presentation, genetic support, and management. Table 4 outlines the main differences observed within this time period (i.e., the current guidelines versus the 2010 American Thoracic Society (ATS) statement. Management of CCHS requires lifelong ventilatory supports and multi-specialty follow-up, the quality of which garantees the longterm clinical outcomes. Awareness and knowledge of the disease are to be brougth to a large health community including adult physicians and health social workers. ",PENDING_REVIEW
08748cb5-2bbd-4a2b-a95e-fd8dfda03347,How many CCHS patients were enrolled in a 2026 registry study in Iceland?,a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,6c2fc0821246681a10c9b8f33789c6177ac32dc4a353dd7d34e52e413b61a5d2,llm,PMC8039127:b4a7750cb1b5b1d0:54:0:218,PMC8039127,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,DISCUSS,Discussion,primary study,2021,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,54,0,218,17655,"This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.",en,"The study describes the clinical and genetic findings of patients with CCHS, whose management—updated over time—allowed for the development of a well-defined follow-up program in the largest Italian pediatric hospital.",PENDING_REVIEW
08748cb5-2bbd-4a2b-a95e-fd8dfda03347,How many CCHS patients were enrolled in a 2026 registry study in Iceland?,a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,6c2fc0821246681a10c9b8f33789c6177ac32dc4a353dd7d34e52e413b61a5d2,llm,PMC8963195:f6c8a0a4968ccaf4:24:600:1350,PMC8963195,Congenital Central Hypoventilation Syndrome: Optimizing Care with a Multidisciplinary Approach,INTRO,Optimizing Care with a Multidisciplinary Approach,review,2022,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8963195/,f6c8a0a4968ccaf484d644ea3a6dee688690e0a1876895c0cef70e90d6ec4fde,24,600,1350,14105,"This work is published and licensed by Dove Medical Press Limited. The full terms of this license are available at https://www.dovepress.com/terms.php and incorporate the Creative Commons Attribution – Non Commercial (unported, v3.0) License (http://creativecommons.org/licenses/by-nc/3.0/). By accessing the work you hereby accept the Terms. Non-commercial uses of the work are permitted without any further permission from Dove Medical Press Limited, provided the work is properly attributed. For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms (https://www.dovepress.com/terms.php).",en,"ltidisciplinary perspective is critical. In CCHS, the pediatric pulmonologist generally takes the lead in care coordination and facilitates communication among subspecialists. A primary point of contact for the patients and families in the pediatric pulmonology office is typically a nurse, nurse case manager, or a nurse care coordinator whose role is to provide information, education, insurance navigation and prior authorization support, facilitate appointment scheduling, coordination with different specialists, and reduce burden on the patient-family unit. At our institution, the CCHS multidisciplinary team is comprised of a pediatric pulmonologist, sleep medicine physician, sleep psychologist, otolaryngologist, cardiologist, anesthesiolog",PENDING_REVIEW
08748cb5-2bbd-4a2b-a95e-fd8dfda03347,How many CCHS patients were enrolled in a 2026 registry study in Iceland?,a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,6c2fc0821246681a10c9b8f33789c6177ac32dc4a353dd7d34e52e413b61a5d2,llm,PMC8039127:b4a7750cb1b5b1d0:1:0:138,PMC8039127,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,ABSTRACT,unknown,primary study,2021,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,1,0,138,152,"This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.",en,Background: Congenital central hypoventilation syndrome (CCHS) is a rare disorder whose clinical phenotype is closely related to genotype.,PENDING_REVIEW
08748cb5-2bbd-4a2b-a95e-fd8dfda03347,How many CCHS patients were enrolled in a 2026 registry study in Iceland?,a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,6c2fc0821246681a10c9b8f33789c6177ac32dc4a353dd7d34e52e413b61a5d2,llm,PMC7503443:a26671042513feb5:147:0:465,PMC7503443,Guidelines for diagnosis and management of congenital central hypoventilation syndrome,DISCUSS,Standards of home care,review/guideline,2020,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503443/,a26671042513feb5430e045a2785bfd01686b4e3844ac4ec2481c6a45d84bb4b,147,0,465,56847,"Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",en,"Patients with CCHS are technology-dependent, but aim to live at home, engaging in activities as normally as possible. Patients (or parents) should receive extensive training in CPR, airway management and equipment handling. Practical skills should reach the standards of nurses/carers caring for such patients. Early discharge planning from hospital can be greatly facilitated by ensuring a case manager, such as a clinical specialist nurse or lead community nurse.",PENDING_REVIEW
